TF	spearman_pval	spearman_rho	spearman_adj_pval
EGR3	0.121754503853295	-0.203623611922852	1
GLIS2	0.00175054214540032	0.401636469900643	0.700216858160128
HIC2	0.00648765382203756	0.35219170075979	1
KLF16	0.0950945718030894	-0.219345412039743	1
ZBED1	0.438994344821001	-0.102454704850964	1
ZNF143	0.00101549176884409	-0.420280537697253	0.406196707537635
ZNF410	0.329307582916005	0.128988895382817	1
CUX2	0.0449943330663314	0.262361192285213	1
E2F7	6.39605566307991e-06	0.558270017533606	0.00255842226523196
ERF	0.0551540800675372	-0.251256575102279	1
ETS1	1.07530307458001e-05	0.546347165400351	0.00430121229832005
ETV2	0.593955263555172	-0.0706604324956166	1
ETV3	0.762494148353592	-0.040093512565751	1
HSF2	0.000606545093129092	0.437054354178843	0.242618037251637
HSF4	0.12627704543339	0.201227352425482	1
IRF7	2.66352807788731e-06	-0.577556984219755	0.00106541123115492
MEF2D	0.00965439123775196	0.335651665692578	1
MEIS1	0	0.720923436586791	0
MYBL1	0.404659606958449	-0.110286382232613	1
MYBL2	0.000373531436392864	0.452133255406195	0.149412574557146
NFKB1	8.47318158838813e-08	0.645528930450029	3.38927263535525e-05
NFKB2	0	0.756107539450614	0
POU2F1	2.80122717311349e-07	0.623319696084161	0.00011204908692454
POU3F1	0.717524048566342	0.0479836353009936	1
POU4F1	0.396946892035542	0.112098188194039	1
POU5F1B	0.0860268069079589	-0.225482174167154	1
RFX2	0.00651572105135541	0.352016364699006	1
SMAD3	0	-0.795558153126827	0
TGIF1	0.608101717057651	-0.0679719462302747	1
TGIF2	0.00476889003782194	-0.364465225014611	1
RFX5	1.26628508623877e-06	-0.593220338983051	0.000506514034495508
RUNX2	0	0.779544126241964	0
EOMES	0.954134846854871	0.00765634132086499	1
MGA	0.831575743029339	0.02822910578609	1
TBX19	0.00775152771173394	-0.344886031560491	1
TBX1	0.191885763664476	0.172121566335476	1
TEAD3	0.0171370681901805	0.310227936879018	1
TFAP2A	0.000308999651479888	0.457860900058445	0.123599860591955
BHLHE40	0.00288727889158286	0.383576855639977	1
HES7	0.164169020798703	-0.183343074225599	1
MAX	0.633676763946199	-0.0631794272355348	1
