name	variability	bootstrap_lower_bound	bootstrap_upper_bound	p_value	p_value_adj
JUN	2.16881885312276	1.86396715719445	2.43488355952886	1.56893545560416e-38	1.83895152133313e-38
JUND	5.48608663580703	4.57010546272699	6.11761493739417	0	0
MEF2C	4.44847168765778	3.84834871017036	4.92027108016655	1.94171367916272e-267	5.81615162230684e-267
MAF_NFE2	8.28711066294557	7.16069603574601	9.0147141947139	0	0
NR2C2	4.50002476004671	4.06693545804719	4.8848801778281	8.90251128442261e-275	2.7559448808715e-274
STAT1_STAT2	2.79826416035057	2.33102754460731	3.23484168902466	1.50219330913164e-82	2.16463044767967e-82
TCF7L2	5.48064698944631	4.72950071414404	6.10144162702928	0	0
ZBTB33	5.25057951322543	4.61245428735763	5.83934978595473	0	0
ELK4	5.24375479510173	4.42775969494718	5.9765100998558	0	0
ESR2	3.83054645809614	3.14457925917638	4.36437431664013	9.18229004563446e-187	2.02762513976979e-186
STAT1	5.54262574086811	5.05069028132705	5.95267787369382	0	0
STAT3	5.57302328783872	5.00510570225278	6.06089897188779	0	0
GATA1_TAL1	8.09551551922263	6.86014429334021	9.02178120966406	0	0
FOXP2	5.3788064318199	4.7094553561768	5.94289379082642	0	0
SREBF1	2.44627428356427	2.0981477975582	2.74304067260753	4.82360991045247e-56	6.16773836376037e-56
SREBF2	2.2953724577064	1.96501714336532	2.55525679743358	3.8435068506082e-46	4.66557022953753e-46
KLF5	2.88685827569773	2.48464806105027	3.21966107275619	5.84513380662497e-90	8.71382850895473e-90
DMRT3	2.26712609610039	2.02655604697161	2.46348649829717	2.18108502895156e-44	2.6084325577295e-44
FOXG1	5.15523166285649	4.53049871593725	5.70272493185896	0	0
LBX1	2.55808036619522	2.26587897600816	2.823456923703	5.97935080159626e-64	7.97657725491295e-64
POU6F1	2.58899055285676	2.32916943864682	2.81379323415107	3.2058336605082e-66	4.32119662156001e-66
SHOX	2.75020228067562	2.5201781315891	2.96203656844003	1.18410427488698e-78	1.68377025461951e-78
ALX3	2.96267360809307	2.71451137945618	3.17847294824581	1.55988496165899e-96	2.39725788644505e-96
BARHL2	1.5682413103454	1.37383491903356	1.74589706353222	1.8887245081448e-11	1.95834095636167e-11
BHLHE41	2.08633035772242	1.78793922840507	2.35245158358283	6.46425892381324e-34	7.40243455523392e-34
CREB3	2.50583253247687	2.2141401765288	2.76858200493591	3.40025407155401e-60	4.44437249352616e-60
DBP	2.95465573733934	2.49872350455005	3.30972341299131	7.91410811161533e-96	1.21337155170974e-95
ELF4	4.04994733463524	3.45085917886058	4.56416614113747	7.32180518796914e-214	1.79439695326365e-213
EN1	2.10270917483636	1.89861933165612	2.27785500896166	8.24364375081177e-35	9.50737523489343e-35
ETV6	4.79610568112564	3.96186054373284	5.52123959665655	1.00292361711898e-318	3.75081792615883e-318
FLI1	5.14016317156404	4.34525953307886	5.85520084539819	0	0
FOXI1	4.32059009210464	3.64336044620237	4.85514530977234	1.22931996521384e-249	3.32790802298475e-249
FOXL1	4.32059009210464	3.64336044620237	4.85514530977234	1.22931996521384e-249	3.32790802298475e-249
GCM1	3.39147673924432	3.05456066132915	3.686238207541	1.06128850666572e-137	1.9451945150502e-137
GRHL1	3.11854519183908	2.84905519743081	3.3388811858276	1.0208630709919e-110	1.65954373600945e-110
GSC	3.39928950641629	2.95638555005315	3.76890209947262	1.63495660605517e-138	3.03970380493591e-138
HEY2	1.99899462853405	1.73516241725552	2.22893428157299	2.48017886941772e-29	2.7810671204736e-29
HINFP	3.09513206886704	2.60642554163016	3.48000183048019	1.57302041057685e-108	2.51294865590918e-108
HNF1A	2.72309851454832	2.41521470971129	2.97398294361793	1.7079735177707e-76	2.39709081561311e-76
HNF1B	2.42682016308147	2.16179385811431	2.64129308651095	1.02274546337708e-54	1.29494386458898e-54
HSF1	4.45197990526655	4.07679944969704	4.76262349769657	6.19069405272197e-268	1.86296700098191e-267
IRF8	3.43221380025454	2.80861240417918	4.00327085990714	5.83354075391172e-142	1.09718048482002e-141
IRF9	3.31336583153089	2.81039368370353	3.75764154620411	1.06067534117312e-129	1.9115792360418e-129
ISX	2.75020228067562	2.5201781315891	2.96203656844003	1.18410427488698e-78	1.68377025461951e-78
JDP2	4.74254254851095	4.03277097679541	5.25131178582032	1.50883865941723e-310	5.48437422833116e-310
KLF13	2.37528059409334	2.00786683742021	2.70559791257499	2.8350696061923e-51	3.52071024031942e-51
LHX6	2.73108481650621	2.48840594061439	2.93937524449826	3.97348680901189e-77	5.60097160224552e-77
MEF2B	2.92061392067999	2.43235754512612	3.28306581964923	7.35133999723348e-93	1.10612022749071e-92
MEOX1	3.31229092912367	3.03885870815521	3.54517540700522	1.36182830506386e-129	2.447508092712e-129
MIXL1	2.36884047008339	2.16501370004872	2.5608451263556	7.50705906876971e-51	9.28693540629828e-51
MLX	2.05819484861803	1.74937599965562	2.3557185413992	2.09602954294225e-32	2.38335872457581e-32
MLXIPL	2.1273187324566	1.82038441524337	2.41690761126958	3.56276135614874e-36	4.13843195229485e-36
MSC	9.29939409792805	8.35577660139569	10.1546143669813	0	0
MYF6	8.32089945898825	7.55746263622068	8.96459882913335	0	0
NEUROG2	9.0482200558997	8.16652760409062	9.8253818761014	0	0
NFIA	4.35382390925833	3.93482675954884	4.6989076654202	3.30128686001724e-254	9.32721658703561e-254
NFIX	5.62122635486179	5.16095470898445	5.99689117266488	0	0
NHLH1	9.50915995523386	8.38006323176066	10.4838607806122	0	0
